id_estudiante,nombre,apellido,edad,genero,carrera,semestre,email,telefono,calificaciones_anteriores,asistencia_porcentaje,participacion_clase,horas_estudio_semanal,nivel_socioeconomico,rendimiento_riesgo,nota_matematicas,nota_ciencias,nota_lenguaje,nota_historia,promedio_general,creditos_aprobados,creditos_totales,fecha_ingreso,estado_academico,motivo_riesgo
1,Natalia,Jiménez,19,F,Ingeniería,5,natalia.jiménez@universidad.edu,555-0001,6.84,93,1,5,Bajo,0,7.0,7.2,6.8,6.6,6.9,75,100,2023-07-17,Condicional,
2,Ana,Guerrero,26,F,Psicología,6,ana.guerrero@universidad.edu,555-0002,6.34,57,2,12,Medio,1,6.2,6.4,6.6,6.6,6.5,90,120,2023-01-18,En Riesgo,Bajo rendimiento académico
3,Isidora,Morales,19,F,Enfermería,4,isidora.morales@universidad.edu,555-0003,4.42,76,1,22,Bajo,1,4.3,4.4,4.0,4.2,4.2,60,80,2024-01-18,En Riesgo,
4,Valentina,Romero,19,F,Ingeniería,6,valentina.romero@universidad.edu,555-0004,7.96,68,1,18,Bajo,1,8.3,8.1,8.0,8.4,8.2,90,120,2023-01-18,En Riesgo,Baja asistencia
5,Camila,López,21,F,Economía,7,camila.lópez@universidad.edu,555-0005,5.64,80,5,21,Medio,0,6.1,5.5,5.2,5.5,5.6,105,140,2022-07-17,Activo,
6,Agustín,Guerrero,19,M,Enfermería,4,agustín.guerrero@universidad.edu,555-0006,9.38,52,3,9,Bajo,0,9.8,9.5,9.6,9.5,9.6,40,80,2024-01-18,Activo,
7,Daniela,González,19,F,Arquitectura,6,daniela.gonzález@universidad.edu,555-0007,6.08,56,2,7,Bajo,1,6.4,6.5,6.0,6.0,6.2,82,120,2023-01-18,En Riesgo,Problemas familiares
8,Florencia,Hernández,23,F,Economía,7,florencia.hernández@universidad.edu,555-0008,6.68,70,2,20,Bajo,0,7.1,7.1,7.1,6.3,6.9,88,140,2022-07-17,Activo,
9,Ignacio,Ramos,23,M,Educación,7,ignacio.ramos@universidad.edu,555-0009,5.05,87,3,17,Bajo,0,4.7,4.9,5.1,4.6,4.8,105,140,2022-07-17,Condicional,
10,Andrés,Aguilar,22,M,Psicología,5,andrés.aguilar@universidad.edu,555-0010,8.57,73,5,21,Medio,0,8.7,8.5,8.6,8.4,8.5,66,100,2023-07-17,Activo,
11,Julieta,Sánchez,21,F,Enfermería,8,julieta.sánchez@universidad.edu,555-0011,5.37,70,5,7,Medio,1,5.3,5.8,5.2,4.9,5.3,120,160,2022-01-18,En Riesgo,Baja asistencia
